VID	cluster_label	best_chi2_id	best_chi2_val	avg_chi2	closest_to_centroid_id	dist_of_closest_to_centroid	num_vectors	dist_to_centroid
v_0	0				v_0	0.0	1	0.0
v_1	1				v_1	0.0	1	0.0
v_2	2				v_2	0.0	1	0.0
v_3	3				v_3	0.0	1	0.0
v_4	4				v_4	0.0	1	0.0
v_5	5				v_5	0.0	1	0.0
v_6	6				v_6	0.0	1	0.0
v_7	7				v_7	0.0	1	0.0
v_8	8				v_8	0.0	1	0.0
v_9	9				v_9	0.0	1	0.0
v_10	10				v_10	0.0	1	0.0
v_11	11				v_11	0.0	1	0.0
v_12	12				v_12	0.0	1	0.0
v_13	13				v_13	0.0	1	0.0
v_14	14				v_14	0.0	1	0.0
v_15	15				v_15	0.0	1	0.0
v_16	16				v_16	0.0	1	0.0
v_17	17				v_17	0.0	1	0.0
v_18	18				v_18	0.0	1	0.0
v_19	19				v_19	0.0	1	0.0
v_20	20				v_20	0.0	1	0.0
v_21	21				v_21	0.0	1	0.0
v_22	22				v_22	0.0	1	0.0
v_23	23				v_23	0.0	1	0.0
v_24	24				v_24	0.0	1	0.0
v_25	25				v_25	0.0	1	0.0
v_26	26				v_26	0.0	1	0.0
v_27	27				v_27	0.0	1	0.0
v_28	28				v_28	0.0	1	0.0
v_29	29				v_29	0.0	1	0.0
v_30	30				v_30	0.0	1	0.0
v_31	31				v_31	0.0	1	0.0
v_32	32				v_32	0.0	1	0.0
v_33	33				v_33	0.0	1	0.0
v_34	34				v_34	0.0	1	0.0
v_35	35				v_35	0.0	1	0.0
v_36	36				v_36	0.0	1	0.0
v_37	37				v_37	0.0	1	0.0
v_38	38				v_38	0.0	1	0.0
v_39	39				v_39	0.0	1	0.0
v_40	40				v_40	0.0	1	0.0
v_41	41				v_41	0.0	1	0.0
v_42	42				v_42	0.0	1	0.0
v_43	43				v_43	0.0	1	0.0
v_44	44				v_44	0.0	1	0.0
v_45	45				v_45	0.0	1	0.0
v_46	46				v_46	0.0	1	0.0
v_47	47				v_47	0.0	1	0.0
v_48	48				v_48	0.0	1	0.0
v_49	49				v_49	0.0	1	0.0
v_50	50				v_50	0.0	1	0.0
v_51	51				v_51	0.0	1	0.0
v_52	52				v_52	0.0	1	0.0
v_53	53				v_53	0.0	1	0.0
v_54	54				v_54	0.0	1	0.0
v_55	55				v_55	0.0	1	0.0
v_56	56				v_56	0.0	1	0.0
v_57	57				v_57	0.0	1	0.0
v_58	58				v_58	0.0	1	0.0
v_59	59				v_59	0.0	1	0.0
v_60	60				v_60	0.0	1	0.0
v_61	61				v_61	0.0	1	0.0
v_62	62				v_62	0.0	1	0.0
v_63	63				v_63	0.0	1	0.0
v_64	64				v_64	0.0	1	0.0
v_65	65				v_65	0.0	1	0.0
v_66	66				v_66	0.0	1	0.0
v_67	67				v_67	0.0	1	0.0
v_68	68				v_68	0.0	1	0.0
v_69	69				v_69	0.0	1	0.0
v_70	70				v_70	0.0	1	0.0
v_71	71				v_71	0.0	1	0.0
v_72	72				v_72	0.0	1	0.0
v_73	73				v_73	0.0	1	0.0
v_74	74				v_74	0.0	1	0.0
v_75	75				v_75	0.0	1	0.0
v_76	76				v_76	0.0	1	0.0
v_77	77				v_77	0.0	1	0.0
v_78	78				v_78	0.0	1	0.0
v_79	79				v_79	0.0	1	0.0
v_80	80				v_80	0.0	1	0.0
v_81	81				v_81	0.0	1	0.0
v_82	82				v_82	0.0	1	0.0
v_83	83				v_83	0.0	1	0.0
v_84	84				v_84	0.0	1	0.0
v_85	85				v_85	0.0	1	0.0
v_86	86				v_86	0.0	1	0.0
v_87	87				v_87	0.0	1	0.0
v_88	88				v_88	0.0	1	0.0
v_89	89				v_89	0.0	1	0.0
v_90	90				v_90	0.0	1	0.0
v_91	91				v_91	0.0	1	0.0
v_92	92				v_92	0.0	1	0.0
v_93	93				v_93	0.0	1	0.0
v_94	94				v_94	0.0	1	0.0
v_95	95				v_95	0.0	1	0.0
v_96	96				v_96	0.0	1	0.0
v_97	97				v_97	0.0	1	0.0
v_98	98				v_98	0.0	1	0.0
v_99	99				v_99	0.0	1	0.0
v_100	100				v_100	0.0	1	0.0
v_101	101				v_101	0.0	1	0.0
