# Found 288 .sum file(s) total in '250128.PN.CT25alt'
# Kept 288 .sum file(s) for set 'pq125a'

Filename             member_idx   C/dof      Chi2R      Chi2F     
pq125a001            1            1.216      4944.      4951.     
pq125a002            2            1.215      4940.      4946.     
pq125a003            3            1.216      4943.      4949.     
pq125a004            4            1.221      4967.      4973.     
pq125a005            5            1.215      4939.      4945.     
pq125a006            6            1.215      4942.      4948.     
pq125a007            7            1.221      4964.      4971.     
pq125a008            8            1.219      4958.      4965.     
pq125a009            9            1.219      4958.      4965.     
pq125a010            10           1.218      4952.      4959.     
pq125a011            11           1.217      4949.      4954.     
pq125a012            12           1.221      4963.      4970.     
pq125a013            13           1.215      4942.      4948.     
pq125a014            14           1.226      4984.      4990.     
pq125a015            15           1.221      4964.      4970.     
pq125a016            16           1.220      4960.      4967.     
pq125a017            17           1.218      4953.      4959.     
pq125a018            18           1.230      5002.      5007.     
pq125a019            19           1.220      4962.      4969.     
pq125a020            20           1.225      4981.      4987.     
pq125a021            21           1.216      4943.      4949.     
pq125a022            22           1.219      4958.      4964.     
pq125a023            23           1.228      4993.      4998.     
pq125a024            24           1.218      4951.      4959.     
pq125a025            25           1.217      4947.      4952.     
pq125a026            26           1.226      4986.      4992.     
pq125a027            27           1.222      4970.      4976.     
pq125a028            28           1.229      4999.      5006.     
pq125a029            29           1.229      4996.      5003.     
pq125a030            30           1.221      4965.      4971.     
pq125a031            31           1.231      5007.      5016.     
pq125a032            32           1.219      4955.      4962.     
pq125a033            33           1.237      5030.      5036.     
pq125a034            34           1.219      4957.      4964.     
pq125a035            35           1.216      4944.      4950.     
pq125a036            36           1.215      4941.      4946.     
pq125a037            37           1.221      4964.      4969.     
pq125a038            38           1.218      4951.      4957.     
pq125a039            39           1.231      5007.      5015.     
pq125a040            40           1.224      4976.      4982.     
pq125a041            41           1.215      4941.      4947.     
pq125a042            42           1.216      4946.      4952.     
pq125a043            43           1.218      4952.      4959.     
pq125a044            44           1.219      4955.      4962.     
pq125a045            45           1.238      5034.      5040.     
pq125a046            46           1.216      4943.      4948.     
pq125a047            47           1.227      4988.      4994.     
pq125a048            48           1.220      4959.      4965.     
pq125a049            49           1.219      4956.      4962.     
pq125a050            50           1.219      4957.      4963.     
pq125a051            51           1.220      4960.      4968.     
pq125a052            52           1.231      5006.      5013.     
pq125a053            53           1.218      4952.      4957.     
pq125a054            54           1.223      4972.      4977.     
pq125a055            55           1.218      4952.      4957.     
pq125a056            56           1.233      5012.      5018.     
pq125a057            57           1.223      4972.      4978.     
pq125a058            58           1.233      5013.      5019.     
pq125a059            59           1.219      4957.      4963.     
pq125a060            60           1.215      4941.      4946.     
pq125a061            61           1.216      4944.      4951.     
pq125a062            62           1.217      4949.      4955.     
