Filename	C/dof	Chi2R	Chi2F	cluster_label	cluster_size	cluster_best_idx	cluster_best_Chi2F	cluster_avg_Chi2F
pq125a001	1.216	4944.0	4951.0	0	1	0	4951.0	4951.0
pq125a005	1.215	4939.0	4945.0	1	2	4	4945.0	4945.5
pq125a006	1.215	4942.0	4948.0	2	4	5	4948.0	4948.75
pq125a008	1.219	4958.0	4965.0	5	2	7	4965.0	4965.0
pq125a011	1.217	4949.0	4954.0	7	3	10	4954.0	4958.666666666667
pq125a012	1.221	4963.0	4970.0	4	2	11	4970.0	4970.5
pq125a014	1.226	4984.0	4990.0	8	1	13	4990.0	4990.0
pq125a015	1.221	4964.0	4970.0	9	1	14	4970.0	4970.0
pq125a018	1.23	5002.0	5007.0	11	2	17	5007.0	5015.0
pq125a021	1.216	4943.0	4949.0	14	1	20	4949.0	4949.0
pq125a022	1.219	4958.0	4964.0	15	2	21	4964.0	4966.0
pq125a025	1.217	4947.0	4952.0	17	2	24	4952.0	4954.5
pq125a026	1.226	4986.0	4992.0	18	3	25	4992.0	4997.333333333333
pq125a027	1.222	4970.0	4976.0	19	2	26	4976.0	4979.0
pq125a028	1.229	4999.0	5006.0	20	1	27	5006.0	5006.0
pq125a029	1.229	4996.0	5003.0	21	4	28	5003.0	5012.0
pq125a030	1.221	4965.0	4971.0	22	2	29	4971.0	4973.5
pq125a031	1.231	5007.0	5016.0	23	2	30	5016.0	5028.0
pq125a032	1.219	4955.0	4962.0	10	2	31	4962.0	4964.5
pq125a034	1.219	4957.0	4964.0	25	2	33	4964.0	4964.5
pq125a036	1.215	4941.0	4946.0	26	2	35	4946.0	4946.5
pq125a037	1.221	4964.0	4969.0	3	2	36	4969.0	4971.0
pq125a044	1.219	4955.0	4962.0	28	1	43	4962.0	4962.0
pq125a046	1.216	4943.0	4948.0	6	4	45	4948.0	4954.5
pq125a047	1.227	4988.0	4994.0	29	1	46	4994.0	4994.0
pq125a049	1.219	4956.0	4962.0	30	1	48	4962.0	4962.0
pq125a054	1.223	4972.0	4977.0	31	2	53	4977.0	4983.0
pq125a055	1.218	4952.0	4957.0	32	3	54	4957.0	4961.0
pq125a056	1.233	5012.0	5018.0	33	2	55	5018.0	5022.0
pq125a057	1.223	4972.0	4978.0	34	1	56	4978.0	4978.0
pq125a058	1.233	5013.0	5019.0	35	1	57	5019.0	5019.0
pq125a060	1.215	4941.0	4946.0	36	2	59	4946.0	4950.5
pq125a061	1.216	4944.0	4951.0	37	1	60	4951.0	4951.0
pq125a066	1.218	4953.0	4958.0	39	1	65	4958.0	4958.0
pq125a067	1.217	4948.0	4953.0	40	4	66	4953.0	4956.25
pq125a068	1.225	4980.0	4986.0	41	2	67	4986.0	4989.0
pq125a070	1.217	4948.0	4952.0	42	1	69	4952.0	4952.0
pq125a071	1.223	4974.0	4979.0	43	1	70	4979.0	4979.0
pq125a073	1.219	4955.0	4960.0	44	2	72	4960.0	4967.0
pq125a074	1.232	5011.0	5018.0	45	2	73	5018.0	5019.5
pq125a075	1.224	4978.0	4983.0	13	2	74	4983.0	4985.0
pq125a076	1.226	4983.0	4987.0	46	1	75	4987.0	4987.0
pq125a079	1.221	4965.0	4970.0	38	2	78	4970.0	4971.0
pq125a080	1.219	4957.0	4963.0	47	2	79	4963.0	4963.5
pq125a082	1.229	4998.0	5002.0	24	3	81	5002.0	5019.666666666667
pq125a083	1.218	4953.0	4958.0	48	2	82	4958.0	4962.5
pq125a085	1.227	4991.0	4996.0	16	2	84	4996.0	4997.0
pq125a086	1.219	4958.0	4963.0	49	2	85	4963.0	4966.5
pq125a087	1.222	4969.0	4976.0	50	2	86	4976.0	4976.5
pq125a088	1.218	4952.0	4957.0	51	1	87	4957.0	4957.0
pq125a089	1.219	4956.0	4962.0	52	2	88	4962.0	4963.0
pq125a090	1.219	4955.0	4959.0	53	2	89	4959.0	4959.5
pq125a094	1.227	4989.0	4995.0	54	1	93	4995.0	4995.0
pq125a096	1.234	5019.0	5028.0	55	1	95	5028.0	5028.0
pq125a097	1.225	4981.0	4987.0	56	1	96	4987.0	4987.0
pq125a098	1.234	5016.0	5024.0	57	2	97	5024.0	5026.5
pq125a101	1.218	4951.0	4956.0	12	2	100	4956.0	4962.5
pq125a103	1.23	5003.0	5008.0	60	1	102	5008.0	5008.0
pq125a104	1.223	4973.0	4979.0	61	1	103	4979.0	4979.0
pq125a107	1.231	5006.0	5011.0	62	1	106	5011.0	5011.0
pq125a108	1.217	4950.0	4955.0	27	3	107	4955.0	4957.0
pq125a111	1.22	4960.0	4970.0	64	1	110	4970.0	4970.0
pq125a112	1.219	4956.0	4966.0	65	1	111	4966.0	4966.0
pq125a113	1.218	4952.0	4963.0	66	1	112	4963.0	4963.0
pq125a114	1.23	5001.0	5008.0	67	2	113	5008.0	5018.5
pq125a116	1.235	5021.0	5029.0	68	2	115	5029.0	5031.5
pq125a117	1.219	4957.0	4967.0	69	1	116	4967.0	4967.0
pq125a118	1.222	4971.0	4981.0	70	1	117	4981.0	4981.0
pq125a120	1.22	4959.0	4966.0	59	2	119	4966.0	4967.0
pq125a123	1.243	5054.0	5062.0	71	1	122	5062.0	5062.0
pq125a124	1.221	4963.0	4968.0	63	2	123	4968.0	4968.5
pq125a125	1.219	4958.0	4968.0	72	5	124	4968.0	4969.4
pq125a127	1.24	5040.0	5044.0	73	1	126	5044.0	5044.0
pq125a129	1.224	4976.0	4986.0	74	2	128	4986.0	4992.0
pq125a136	1.22	4959.0	4969.0	58	2	135	4969.0	4971.0
pq125a137	1.222	4970.0	4978.0	76	3	136	4978.0	4978.0
pq125a139	1.23	4999.0	5010.0	77	1	138	5010.0	5010.0
pq125a142	1.221	4964.0	4974.0	79	1	141	4974.0	4974.0
pq125a145	1.223	4973.0	4982.0	75	5	144	4982.0	4993.8
pq125a147	1.234	5017.0	5025.0	80	1	146	5025.0	5025.0
pq125a151	1.223	4972.0	4981.0	82	4	150	4981.0	4982.75
pq125a152	1.228	4991.0	5000.0	83	1	151	5000.0	5000.0
pq125a155	1.22	4960.0	4968.0	84	1	154	4968.0	4968.0
pq125a158	1.226	4985.0	4994.0	78	3	157	4994.0	4995.666666666667
pq125a161	1.236	5026.0	5033.0	85	2	160	5033.0	5035.5
pq125a162	1.235	5023.0	5033.0	86	1	161	5033.0	5033.0
pq125a163	1.23	4999.0	5008.0	87	1	162	5008.0	5008.0
pq125a164	1.23	5001.0	5009.0	88	2	163	5009.0	5012.5
pq125a166	1.231	5003.0	5011.0	89	5	165	5011.0	5015.4
pq125a167	1.226	4985.0	4993.0	90	1	166	4993.0	4993.0
pq125a168	1.222	4971.0	4981.0	91	1	167	4981.0	4981.0
pq125a169	1.224	4978.0	4988.0	92	1	168	4988.0	4988.0
pq125a170	1.236	5027.0	5038.0	93	2	169	5038.0	5043.5
pq125a171	1.236	5026.0	5035.0	94	1	170	5035.0	5035.0
pq125a174	1.222	4969.0	4976.0	95	1	173	4976.0	4976.0
pq125a176	1.229	4998.0	5006.0	97	1	175	5006.0	5006.0
pq125a177	1.226	4986.0	4998.0	98	2	176	4998.0	4999.0
pq125a182	1.22	4962.0	4970.0	81	5	181	4970.0	4974.2
pq125a184	1.232	5010.0	5019.0	99	2	183	5019.0	5021.5
pq125a188	1.246	5068.0	5076.0	101	1	187	5076.0	5076.0
pq125a189	1.243	5053.0	5061.0	102	1	188	5061.0	5061.0
pq125a190	1.23	5001.0	5009.0	103	3	189	5009.0	5010.0
pq125a191	1.243	5052.0	5063.0	104	1	190	5063.0	5063.0
pq125a192	1.247	5072.0	5081.0	105	1	191	5081.0	5081.0
pq125a193	1.229	4998.0	5006.0	106	2	192	5006.0	5009.0
pq125a197	1.223	4972.0	4983.0	107	1	196	4983.0	4983.0
pq125a199	1.239	5037.0	5045.0	108	2	198	5045.0	5052.5
pq125a200	1.229	4999.0	5006.0	96	5	199	5006.0	5010.4
pq125a201	1.234	5018.0	5026.0	100	2	200	5026.0	5027.0
pq125a202	1.23	5002.0	5013.0	109	1	201	5013.0	5013.0
pq125a205	1.224	4975.0	4984.0	112	2	204	4984.0	4987.0
pq125a210	1.239	5039.0	5047.0	113	1	209	5047.0	5047.0
pq125a211	1.235	5020.0	5028.0	114	1	210	5028.0	5028.0
pq125a212	1.226	4986.0	4994.0	115	4	211	4994.0	5000.25
pq125a213	1.234	5018.0	5027.0	116	1	212	5027.0	5027.0
pq125a215	1.24	5041.0	5049.0	118	1	214	5049.0	5049.0
pq125a218	1.241	5044.0	5055.0	119	2	217	5055.0	5057.5
pq125a219	1.233	5014.0	5021.0	120	2	218	5021.0	5022.0
pq125a220	1.235	5020.0	5027.0	121	2	219	5027.0	5033.0
pq125a221	1.238	5034.0	5042.0	111	2	220	5042.0	5044.5
pq125a224	1.227	4990.0	5000.0	123	3	223	5000.0	5002.333333333333
pq125a227	1.235	5020.0	5028.0	124	2	226	5028.0	5028.0
pq125a229	1.234	5018.0	5027.0	125	1	228	5027.0	5027.0
pq125a232	1.234	5018.0	5026.0	126	3	231	5026.0	5027.333333333333
pq125a236	1.249	5077.0	5086.0	127	1	235	5086.0	5086.0
pq125a237	1.248	5073.0	5082.0	117	2	236	5082.0	5082.5
pq125a238	1.238	5035.0	5043.0	128	1	237	5043.0	5043.0
pq125a239	1.228	4994.0	5006.0	129	1	238	5006.0	5006.0
pq125a240	1.243	5056.0	5064.0	130	2	239	5064.0	5066.0
pq125a241	1.235	5023.0	5033.0	131	2	240	5033.0	5033.0
pq125a242	1.246	5067.0	5075.0	132	2	241	5075.0	5077.5
pq125a243	1.243	5053.0	5060.0	133	2	242	5060.0	5060.0
pq125a244	1.247	5069.0	5077.0	134	1	243	5077.0	5077.0
pq125a246	1.25	5083.0	5090.0	135	1	245	5090.0	5090.0
pq125a247	1.246	5064.0	5072.0	136	1	246	5072.0	5072.0
pq125a248	1.247	5069.0	5078.0	137	2	247	5078.0	5081.0
pq125a250	1.232	5010.0	5017.0	138	2	249	5017.0	5020.0
pq125a253	1.233	5013.0	5020.0	140	2	252	5020.0	5023.0
pq125a255	1.233	5013.0	5021.0	141	3	254	5021.0	5022.666666666667
pq125a257	1.237	5030.0	5041.0	139	2	256	5041.0	5046.0
pq125a261	1.233	5015.0	5023.0	143	3	260	5023.0	5025.0
pq125a263	1.225	4981.0	4989.0	144	1	262	4989.0	4989.0
pq125a264	1.235	5023.0	5031.0	145	2	263	5031.0	5031.0
pq125a265	1.228	4993.0	5001.0	146	1	264	5001.0	5001.0
pq125a268	1.243	5054.0	5061.0	147	1	267	5061.0	5061.0
pq125a269	1.227	4991.0	5000.0	148	3	268	5000.0	5002.0
pq125a274	1.227	4991.0	5000.0	149	2	273	5000.0	5002.0
pq125a275	1.226	4986.0	4996.0	142	3	274	4996.0	4998.0
pq125a278	1.237	5032.0	5040.0	150	2	277	5040.0	5040.5
pq125a279	1.23	5002.0	5010.0	151	1	278	5010.0	5010.0
