Filename	C/dof	Chi2R	Chi2F	cluster_label	cluster_size	cluster_best_idx	cluster_best_Chi2F	cluster_avg_Chi2F
pq125a002	1.215	4940.0	4946.0	1	4	4	4945.0	4946.0
pq125a003	1.216	4943.0	4949.0	2	4	5	4948.0	4948.75
pq125a004	1.221	4967.0	4973.0	3	2	36	4969.0	4971.0
pq125a007	1.221	4964.0	4971.0	4	2	11	4970.0	4970.5
pq125a008	1.219	4958.0	4965.0	0	3	0	4951.0	4960.333333333333
pq125a009	1.219	4958.0	4965.0	0	3	0	4951.0	4960.333333333333
pq125a010	1.218	4952.0	4959.0	5	4	45	4948.0	4954.5
pq125a011	1.217	4949.0	4954.0	6	15	69	4952.0	4962.0
pq125a013	1.215	4942.0	4948.0	2	4	5	4948.0	4948.75
pq125a016	1.22	4960.0	4967.0	9	2	31	4962.0	4964.5
pq125a017	1.218	4953.0	4959.0	6	15	69	4952.0	4962.0
pq125a019	1.22	4962.0	4969.0	11	2	100	4956.0	4962.5
pq125a020	1.225	4981.0	4987.0	12	3	74	4983.0	4985.666666666667
pq125a022	1.219	4958.0	4964.0	6	15	69	4952.0	4962.0
pq125a023	1.228	4993.0	4998.0	14	5	25	4992.0	4997.2
pq125a024	1.218	4951.0	4959.0	5	4	45	4948.0	4954.5
pq125a030	1.221	4965.0	4971.0	6	15	69	4952.0	4962.0
pq125a033	1.237	5030.0	5036.0	20	6	81	5002.0	5025.833333333333
pq125a035	1.216	4944.0	4950.0	2	4	5	4948.0	4948.75
pq125a036	1.215	4941.0	4946.0	1	4	4	4945.0	4946.0
pq125a038	1.218	4951.0	4957.0	15	2	24	4952.0	4954.5
pq125a039	1.231	5007.0	5015.0	18	4	28	5003.0	5012.0
pq125a040	1.224	4976.0	4982.0	16	2	26	4976.0	4979.0
pq125a041	1.215	4941.0	4947.0	1	4	4	4945.0	4946.0
pq125a042	1.216	4946.0	4952.0	5	4	45	4948.0	4954.5
pq125a043	1.218	4952.0	4959.0	6	15	69	4952.0	4962.0
pq125a045	1.238	5034.0	5040.0	19	2	30	5016.0	5028.0
pq125a048	1.22	4959.0	4965.0	21	2	33	4964.0	4964.5
pq125a050	1.219	4957.0	4963.0	6	15	69	4952.0	4962.0
pq125a051	1.22	4960.0	4968.0	6	15	69	4952.0	4962.0
pq125a052	1.231	5006.0	5013.0	18	4	28	5003.0	5012.0
pq125a053	1.218	4952.0	4957.0	6	15	69	4952.0	4962.0
pq125a059	1.219	4957.0	4963.0	26	5	54	4957.0	4962.0
pq125a062	1.217	4949.0	4955.0	30	3	59	4946.0	4952.666666666667
pq125a063	1.233	5015.0	5023.0	10	2	17	5007.0	5015.0
pq125a064	1.226	4984.0	4989.0	25	2	53	4977.0	4983.0
pq125a065	1.221	4965.0	4972.0	32	4	78	4970.0	4973.75
pq125a069	1.232	5009.0	5017.0	18	4	28	5003.0	5012.0
pq125a072	1.217	4950.0	4955.0	34	8	66	4953.0	4961.0
pq125a077	1.222	4969.0	4976.0	6	15	69	4952.0	4962.0
pq125a078	1.22	4959.0	4964.0	26	5	54	4957.0	4962.0
pq125a080	1.219	4957.0	4963.0	26	5	54	4957.0	4962.0
pq125a081	1.234	5016.0	5021.0	38	4	73	5018.0	5025.5
